JPT_SJR_KO,C,3;JPT_POWIER,N,19,11;JPT_KOD_JE,C,20;JPT_NAZWA_,C,128;JPT_ORGAN_,C,254;JPT_JOR_ID,N,9,0;WERSJA_OD,D;WERSJA_DO,D;WAZNY_OD,D;WAZNY_DO,D;JPT_KOD__1,C,3;JPT_NAZWA1,C,3;JPT_ORGAN1,C,3;JPT_WAZNA_,C,3;ID_BUFORA_,N,19,11;ID_BUFORA1,N,19,11;ID_TECHNIC,N,9,0;IIP_PRZEST,C,20;IIP_IDENTY,C,128;IIP_WERSJA,C,32;JPT_KJ_IIP,C,20;JPT_KJ_I_1,C,128;JPT_KJ_I_2,C,32;JPT_OPIS,C,254;JPT_SPS_KO,C,3;ID_BUFOR_1,N,9,0;JPT_ID,N,9,0;JPT_POWI_1,N,19,11;JPT_KJ_I_3,C,3;JPT_GEOMET,N,19,11;JPT_GEOM_1,N,19,11;Shape_Leng,N,19,11;Shape_Area,N,19,11;REGON,C,254
GMI;15100;3214053;Ińsko;;13150;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13615;0;828100;PL.PZGIK.200;035f455f-8930-48e3-a324-c3289757b9a4;2012-09-26T22:34:40+02:00;EGIB;3214053;;;UZG;0;828100;0;;0;0;1,0616945961;0,0204170962;81168564500000
GMI;17210;0619052;Urszulin;;13176;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13642;0;828354;PL.PZGIK.200;6c004da1-cc44-46f7-a0a5-fd7330c0ffa6;2012-09-26T22:43:18+02:00;EGIB;0619052;;;UZG;0;828354;0;;0;0;0,8699576013;0,0222307023;11019787100000
GMI;10997;0620082;Radecznica;;13177;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13643;0;828359;PL.PZGIK.200;5b345643-60a0-40c4-9f4e-f0e9918aa9e6;2012-09-26T22:43:22+02:00;EGIB;0620082;;;UZG;0;828359;0;;0;0;1,2064269705;0,0139949262;95036854600000
GMI;19620;2213122;Starogard Gdański;;13207;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13673;0;828597;PL.PZGIK.200;1c997c90-1f1b-4a63-b917-bfbb6877a135;2012-09-26T22:46:17+02:00;EGIB;2213122;;;UZG;0;828597;0;;0;0;1,7213102305;0,0268638064;19167570600000
GMI;13779;2213132;Zblewo;;13207;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13673;0;828599;PL.PZGIK.200;fab0c136-3fe6-46a8-86ab-d9bac5e57270;2012-09-26T22:46:17+02:00;EGIB;2213132;;;UZG;0;828599;0;;0;0;0,9959554477;0,0188512802;19167572900000
GMI;17060;2214062;Tczew;;13208;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13674;0;828606;PL.PZGIK.200;39985007-b7bc-4765-b683-d0f479b9aa5c;2012-09-26T22:46:25+02:00;EGIB;2214062;;;UZG;0;828606;0;;0;0;1,0179278505;0,0234218551;19167537900000
GMI;11320;1411102;Szelków;;13238;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13704;0;828847;PL.PZGIK.200;ab0e2ee3-f362-41f9-9116-8222cfdc2a08;2012-09-26T22:52:17+02:00;EGIB;1411102;;;UZG;0;828847;0;;0;0;0,8977225434;0,0150887406;55066837300000
GMI;10627;1412142;Stanisławów;;13239;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13705;0;828858;PL.PZGIK.200;4971c193-32ac-4970-91d6-df14bce7e23e;2012-09-26T22:52:22+02:00;EGIB;1412142;;;UZG;0;828858;0;;0;0;0,880700535;0,0139955276;71158243400000
GMI;1931;1412151;Sulejówek;;13239;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13705;0;828862;PL.PZGIK.200;bb062c72-0e26-4493-9431-b6272466e847;2012-09-26T22:52:22+02:00;EGIB;1412151;;;UZG;0;828862;0;;0;0;0,3204315446;0,0025403728;01326911400000
GMI;8410;1407032;Gniewoszów;;13266;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13732;0;826047;PL.PZGIK.200;4f8d7e57-8f01-4203-90f1-a894ad9be67b;2012-09-26T21:58:00+02:00;EGIB;1407032;;;UZG;0;826047;0;;0;0;0,573988041;0,0108786972;67022365200000
GMI;10630;1810042;Łańcut;;13300;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13766;0;826301;PL.PZGIK.200;bd996767-8960-493e-889e-a1335e7602bf;2012-09-26T22:01:17+02:00;EGIB;1810042;;;UZG;0;826301;0;;0;0;0,8673379376;0,0133400604;69058179000000
GMI;7071;1216072;Rzepiennik Strzyżewski;;13328;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13796;0;826598;PL.PZGIK.200;ed647a44-3044-4e17-8558-f1646b072d2a;2012-09-26T22:12:12+02:00;EGIB;1216072;;;UZG;0;826598;0;;0;0;0,5771154042;0,0088301432;85166088400000
GMI;24950;3217043;Tuczno;;13153;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13618;0;828128;PL.PZGIK.200;5f53ec4e-47c7-4aa7-a7b7-ab40a853921a;2012-09-26T22:35:35+02:00;EGIB;3217043;;;UZG;0;828128;0;;0;0;1,1127904702;0,0335639033;57079151400000
GMI;24015;0811032;Brody;;13181;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13647;0;828379;PL.PZGIK.200;36643bac-18f1-474a-95ab-e0ab0c192e22;2012-09-26T22:43:53+02:00;EGIB;0811032;;;UZG;0;828379;0;;0;0;1,3462183498;0,0312666943;97077057000000
